source	time	person	location	organization	miscellaneous
	2016-01-21 00:00:00	hopeful		alternative asset manager	the past week|12|57|28|second|2012|second|last week|last year|the period from the beginning of 2014|six|earlier this for|the day|more than billion|2002|the past year|second
	2016-01-21 00:00:00	guy|trump		finance|the historic party|consultancy	this week|annual|over 30 years|first|first|the day|months|months|socialist|second|third
	2016-01-21 00:00:00			congressional|the state legislature	second|2015|mid|million|bipartisan|next month|this week|million|87|2014|nine
	2016-01-21 00:00:00				next month|2014|2015|this week|million
	2016-01-22 00:00:00				millions|each year|more than million|roughly 22 million|million|fiscal 2017|this week
	2016-01-22 00:00:00		commonwealth	federal	democrats|44|billion|recent months|weeks|first
	2016-01-22 00:00:00				last year|one|29|up to five years|six months|million|decades|the 1960s
	2016-01-22 00:00:00			government department|department|interagency	thousands|winter storm|29 after this week|between 2009|at least two|2014|first|four
	2016-01-22 00:00:00				quarter|religious|10 years ago|nearly half|nearly 900|more than 750|seven|18
	2016-01-22 00:00:00				conservative|22|conservative|37 percent to 26 percent|the same day|conservatives
	2016-01-22 00:00:00			federal|federal	up to 45 percent|2012|one week|first|three|2009|about 375 billion feet|about million households
	2016-01-23 00:00:00			the office of the presidency|former	days|first|third|37 percent to 26 percent|2008|one|2012
	2016-01-25 00:00:00				two|the last two years|natural born|2001|at least
	2016-01-25 00:00:00	senator			week|week|months|one|one|three|night|third|last year|first|first|three|first
	2016-01-26 00:00:00	presidential			first
	2016-01-26 00:00:00	black		federal	2010|almost two years|2013|two years
	2016-01-26 00:00:00	tweeted			evangelical|2016|evangelical|first|week
	2016-01-26 00:00:00				today
	2016-01-26 00:00:00				more than 30 million|the final year|more than 10|hundreds of thousands|half|seventh
	2016-01-26 00:00:00				about 24 percent|about per 15 percent|55 percent|36 percent|billion|12th|50 years|several hundred|about 10 hours|billion|10 years|less than half|one|fifth|45 to 54 years old|2014
	2016-01-26 00:00:00				one|40|25|2016|first|one week
	2016-01-27 00:00:00				
	2016-01-27 00:00:00			senior	thousands|days|2015
	2016-01-27 00:00:00				next month|five days
	2016-01-27 00:00:00	senator		democratic	two
	2016-01-27 00:00:00				2016|first
	2016-01-27 00:00:00				
	2016-01-27 00:00:00				
	2016-01-28 00:00:00				days|the other day|first|two|only one|month ago
	2016-01-28 00:00:00			congressional committee	10|45|nearly percent|the last hour|the day|last year|earlier this week|last week|last year
	2016-01-28 00:00:00				six|23|seven|just 10 percent|at least billion|first|only 41 percent|66 percent|59 percent|almost 100 percent|about 37 percent|30 percent|38 percent|25 percent|37 percent|31 percent
	2016-01-28 00:00:00				the last minute|2015|two
	2016-01-28 00:00:00				seventh|million|one night|just days|first|2016|million|two|one|earlier this week|tonight|million|22|one|about five minutes|first|first|months
	2016-01-28 00:00:00			the foreign relations committee	fourth|earlier this month|12|the week of
	2016-01-28 00:00:00	presidential			two|only six|this week|three|second|six|two|three|two
	2016-01-28 00:00:00			top	four|13|38|up to 90 days|130|four|monthly|12
	2016-01-28 00:00:00				last year|one|up to five years|six months|million|decades|the 1960s
	2016-01-29 00:00:00			21st	million
	2016-01-29 00:00:00				million|this year|hundreds|millions|12
	2016-01-29 00:00:00		the eastern		two
	2016-01-29 00:00:00	tough			an few miles|only days|one|about five minutes|three|million|million|more than million|two|three hours|one
	2016-01-29 00:00:00			administration|federal|congressional	100|the seventh anniversary|first|the past two|about only 79 percent|decades
	2016-01-29 00:00:00				
	2016-01-29 00:00:00				
	2016-01-30 00:00:00				first|first|democratic|day|28|third|15|2008|2012|16 years|about 500|tomorrow night|first|45 percent to 42 percent|tomorrow night|six|night|three
	2016-01-30 00:00:00			editorial board|foreign board|state	two days|first|2009
	2016-01-31 00:00:00				today|recent days|two|seven|months|45 percent|42 percent|51 percent|40
	2016-01-31 00:00:00			bowling alley	2008|2008|first|2016|18 to 29|57 to 24|30 to like prefer to 45 to 28|30 to 39|2008|first|first|2008|first|two|democratic
	2016-02-01 00:00:00			agriculture|legislative	nine|as many as 30|the middle of the week|recent years|18 years|2014|180 to 200 days|congressional|the first year|130|the first years|the worked days|the first year|the second year|the calendar working days|last week|the annual working days|working days|recent years|every year|about 75 percent|week|about miles|about third|year|2011|90|72|working days|days|year|27|more than seven|the last five years|days|40|the 1980s|this week|last week
	2016-02-01 00:00:00				just million|the last three months of quarters|million|the fourth quarter of 2015|second|million|the last three months|million|fourth|about million
	2016-02-01 00:00:00				billion 2017|three|one|fiscal 2017|first|fiscal|one|five|well over billion|two|fiscal 2017|14|fiscal 2018|one|12|annual|one|64|97|one|one|tens of millions of dollars|2014
	2016-02-02 00:00:00				first|28 percent|24 percent|the morning|those days|this week|daily|about 10 percent|night
	2016-02-02 00:00:00				2011|last week|2015|1982
	2016-02-02 00:00:00				more than 93 percent|democratic|third|second|60 percent|first|52 percent|the 42 percent
	2016-02-02 00:00:00			nuclear	nearly three weeks|nearly third|four|1993|the same day|more than 60|one
	2016-02-02 00:00:00				billion|billion|the end of the month|last week
	2016-02-02 00:00:00				less than percent|85 percent
	2016-02-02 00:00:00	story			first|2016|the night|23|just over million|the fourth quarter|million|third|evening|first|the weekend
	2016-02-02 00:00:00				first|two|just hours|1993|the same day
	2016-02-03 00:00:00				
	2016-02-03 00:00:00			reality	libertarian|second|first|evangelical|2012|2016|second
	2016-02-03 00:00:00				2012|2005|2009|last month|this year
	2016-02-03 00:00:00				first|presidential|14|mosques|first|annual|last week
	2016-02-03 00:00:00				conservatives|conservative|more than 160|conservatives|late last year|billion over two|evening|first
	2016-02-04 00:00:00				50|months|fourth|less than 10 percent
	2016-02-04 00:00:00			state	nearly year|five|12|two|10|between 2009|2001|10
	2016-02-04 00:00:00				2017|2010|some billion year
	2016-02-04 00:00:00				minutes|more than dozen|two|2014|one|more than 50|midday|six|first|six|last month
	2016-02-04 00:00:00				fiscal year|his final year|more than billion|about 35 percent|billion|billion|more than million|billion|10 years|billion|million|million|three years|19|more than million|billion|million|billion|million|billion|million|million|million|million|million|200
	2016-02-04 00:00:00				first
	2016-02-04 00:00:00				evangelical|the day
	2016-02-04 00:00:00				fiscal 2016
	2016-02-04 00:00:00				year|evening|one|12|first|about 80|120
	2016-02-04 00:00:00			government	more than million|half century|million|the next five|four years|billion|between 2000 and 2015|about 25 percent|2016|20 percent
	2016-02-04 00:00:00				2009
	2016-02-04 00:00:00				two|second|today|two|day|first|democratic|first|first|decades|every morning
	2016-02-05 00:00:00				two|48 percent to|45 percent|first|two|night|first|two|40 percent|16 percent|third|13|2016
	2016-02-05 00:00:00				the previous 24 hours|60|the past two weeks|night|50 to 100|month|two|dozens|300
	2016-02-05 00:00:00				28|first|2016|second|million|last week|one
	2016-02-05 00:00:00	de	has	performing arts center	two|three|billion|day
	2016-02-05 00:00:00				day|almost year|second|second|2014|next month|first
	2016-02-05 00:00:00			domestic|congressional	billion|five years|fiscal 2017|one|2016
	2016-02-07 00:00:00			get	second|between 10 and 22|as much as million|2nd
	2016-02-07 00:00:00				first|eighth|night|33 percent|20|15|an hour|first|10|days|one|one|night|44 percent|night|second
	2016-02-08 00:00:00	congressman|senator from|senator from			about 12 to 14 percent|14|30 percent|13 percent|last year|one
	2016-02-08 00:00:00			united	two
	2016-02-08 00:00:00			fiscal	fiscal 2017|11 percent|32 percent|billion|million|the year|the previous|2008|fiscal 2017
	2016-02-08 00:00:00	former volunteer		super	1993|2016|last year|1998|the day|two|68 percent|50 percent|another 21 percent|first|last year
	2016-02-08 00:00:00				around billion
	2016-02-08 00:00:00				
	2016-02-08 00:00:00				billion over 10 years|19|million
	2016-02-08 00:00:00				week|about 500|today|1992|the tense|last summer|2008|years
	2016-02-09 00:00:00				fiscal year|his final year|billion|50 percent|billion|billion|billion|20 percent|billion|11 percent|32 percent|billion|billion|10 years|the summer|million|up to 150 percent|three years|billion|million|billion|billion|million|million|million|million|million|200
	2016-02-09 00:00:00				fiscal year|his final year|more than|about 35 percent|billion|35 percent|billion|billion|20 percent|billion|five years|billion|11 percent|billion|32 percent|billion|more than|billion|10 years|billion|million|million|three years|19|more than million|billion|million|billion|million|billion|million|million|million|million|million|200
	2016-02-09 00:00:00				billion|billion
	2016-02-09 00:00:00	memo			40|52|one|two|one
	2016-02-09 00:00:00				at least billion
	2016-02-09 00:00:00			military department	billion|billion|2017|50 percent|billion|million|billion|million|30|billion|the fiscal year beginning plus billion for war funding|about billion|congressional|last year|2016|billion|billion|2017|more than billion|five|billion|2022|billion|2017|million
	2016-02-09 00:00:00				billion|million|17
	2016-02-09 00:00:00				the fiscal year|about year|up to 150 percent|between ages|25|two|65|million|billion|up to quarter|billion|10 years|billion|billion|million|million
	2016-02-09 00:00:00				each year|75 percent|86 percent|trillion|the decade|over 500 percent
	2016-02-09 00:00:00			national|presidential commission on cyber	fiscal 2017|billion|billion|this year|billion|this year|billion|the last year|last year|22 million|last month
	2016-02-10 00:00:00				recent months|one
	2016-02-10 00:00:00				20
	2016-02-10 00:00:00				2030|32 percent|2005|only one|last year
	2016-02-10 00:00:00			climate	the day|afternoon|2030|32 percent|2005|only one|last year
	2016-02-10 00:00:00	senior			first|conservatives|last year|billion|two|former waning days|fiscal 2017|dozen|one|first
	2016-02-10 00:00:00				fiscal year 2017|million|fiscal 2017|million|million|million|million|fiscal budget|million|five|million|second|late last year|last year|more than billion
	2016-02-10 00:00:00			national	one|just hours after|more than half|2008|first|2016|2008|next year|first|22|2008|48 percent|32 percent|35 percent|2013|15
	2016-02-10 00:00:00				38|up to 90 days|13|130|that day
	2016-02-10 00:00:00				18|13|second|56 percent|11 percent|26 percent|second|summer|more than four
	2016-02-10 00:00:00				first|first|44 percent|55 percent|56 percent|69 percent|82|first|eight years|first|four|the same day|first|first
	2016-02-10 00:00:00				sixth|as long as 24 hours|eight
	2016-02-11 00:00:00				the beginning of the after|the year remaining
	2016-02-11 00:00:00			the air traffic organization	years
	2016-02-11 00:00:00			foreign affairs group	today|10|only four|2016
	2016-02-11 00:00:00				one|29|year|32 percent|2005|the next 15|the past two warned against|one|two|one|nearly percent|afternoon|today
	2016-02-11 00:00:00		us		this week|first
	2016-02-11 00:00:00				
	2016-02-11 00:00:00			national security	one|weekly
	2016-02-11 00:00:00				dozen|the weekend|one|black
	2016-02-11 00:00:00	said		state|state	first|two|two|million|the prior week|democratic|first|two|about 25
	2016-02-11 00:00:00	she			first|last year|recent days|2030|32 percent|2005|his final year
	2016-02-11 00:00:00			antitrust|antitrust|antitrust|antitrust|antitrust|antitrust|medical	next month|two|two|late 2015|three|third
	2016-02-11 00:00:00			senate	about 70 percent|22
	2016-02-11 00:00:00				2003|33 percent|first|second
	2016-02-12 00:00:00				
	2016-02-12 00:00:00				
	2016-02-12 00:00:00				million|the current fiscal year|billion|the next fiscal year|the next four|2008|billion|billion|recent years|million|million|million|the current year
	2016-02-12 00:00:00				four days|more than two dozen
	2016-02-12 00:00:00				plaza|2016|plaza|two|last year
	2016-02-12 00:00:00				first|more than 50
	2016-02-12 00:00:00			state	one|six
	2016-02-13 00:00:00	duck|precedent	guinea	presidential	months|2000|2008|this week|first|seven
	2016-02-13 00:00:00				week|40 percent|recent days|2003|second
	2016-02-14 00:00:00				one|one|nine|2012|today
	2016-02-14 00:00:00	partisan			almost 30|year|one|conservative|bipartisan
	2016-02-14 00:00:00				this week|two|about 30 days|last year
	2016-02-14 00:00:00				2016|only hours|an election year|recent years|this year|these days|two|an election year
	2016-02-14 00:00:00				four|four|2016|2016|this year|first|days|80 years|first|two|about 30 days|this year|two|2015
	2016-02-14 00:00:00				
	2016-02-14 00:00:00				million|the year|24 million
	2016-02-15 00:00:00			the high court	9th|2015|one|two|first|2013|1981
	2016-02-15 00:00:00	proclaimed			only 10|24|five|2014|2017|congressional|one|2016|only one
	2016-02-15 00:00:00	came			over 20 minutes|fourth|first|the year|2009|sixth|fourth|first
	2016-02-15 00:00:00				four|rocket
	2016-02-16 00:00:00				one|last|2030|32 percent|2005|27|two|one|five|four|ninth|first|2017
	2016-02-16 00:00:00				
	2016-02-16 00:00:00	de		state|the for	black|first|this month|more than two hours|first|billion|last week
	2016-02-16 00:00:00				second|first|first|first|two|two|at least two|three|last summer
	2016-02-17 00:00:00	said			2016|third|four|one|1999|40 percent|17 percent|11 percent|10 percent|28 percent|26|second|2013|fourth
	2016-02-17 00:00:00		about		earlier this month|night|two|first|two
	2016-02-17 00:00:00			suburban school district	first|two weeks
	2016-02-17 00:00:00			high court	four|four|first|decade ago|eight|next week
	2016-02-17 00:00:00				more than billion
	2016-02-17 00:00:00			commission	two|the end of the year|one
	2016-02-18 00:00:00			the of	first|more than five decades|about 90|11
	2016-02-18 00:00:00	pope		on|the department of at	first|half million|one|one|the 21st|millions|43 percent|38 percent|71 percent|the 21 percent|100 percent|the year
	2016-02-18 00:00:00			the international tribunal	later this year|daily
	2016-02-18 00:00:00				the final year|2014|23|2016|two|two|half
	2016-02-18 00:00:00				
	2016-02-18 00:00:00	set			first|two|2014|more than 50 years|53|about 90|about 20|annual
	2016-02-18 00:00:00				2000|2004
	2016-02-18 00:00:00				
	2016-02-18 00:00:00				
	2016-02-18 00:00:00			congressional|the digital rights	weeks|14|last summer|2014|one
	2016-02-18 00:00:00				40 percent|17 percent|11 percent|10 percent|this week|daily|44 percent|37 percent|44 percent|35
	2016-02-18 00:00:00	conservative		insured	2014|around billion in hoped|around 30 percent|five percent|nearly 30|year ago|only seven|last year|four|three|four|two
	2016-02-19 00:00:00				
	2016-02-19 00:00:00	presidential			2002|2003
	2016-02-19 00:00:00	shooter			one
	2016-02-19 00:00:00				black|blacks|more than half|45th|2008|2016
	2016-02-19 00:00:00	presidential|champion		maker of air|our	last week|the election year|2016|the past two|afternoon|more than million|30 years ago|12
	2016-02-19 00:00:00				27|more than half
	2016-02-19 00:00:00				next year|2017|first|about percent|17 million|rose percent|2017
	2016-02-20 00:00:00				two|2011|this month|1st|2013|13|15
	2016-02-20 00:00:00				third|2016|the last days|summer|first|hundreds|one|weeks|2008|nearly 18 percent|six weeks later|26 percent|38|days|2003|week|days|one|several days|first|thousands|two days later|at least million|less than two hours
	2016-02-20 00:00:00	deep			dozens|one|nine|eight|2016|one|election year|year|first|four|four
	2016-02-21 00:00:00				days
	2016-02-21 00:00:00				2016
	2016-02-21 00:00:00	real			one|five|12|10
	2016-02-22 00:00:00				
	2016-02-22 00:00:00	win		caucuses	two|recent months|one|one|53 percent|23
	2016-02-22 00:00:00				this week|later this week|two days|the past year
	2016-02-22 00:00:00				2014|billion|45 percent|the end of aimed at addressing gave sense|million|the last quarter of fiscal year
	2016-02-22 00:00:00	black|last	backs		two|this month|2014|13|more than 50
	2016-02-22 00:00:00				1978|fifth|first|first|2012
	2016-02-22 00:00:00				
	2016-02-22 00:00:00		the city	the state board	last week|the school code|billion|annual|million|an additional million|billion|million|earlier this month|nearly billion
	2016-02-22 00:00:00		city	state	hundreds|just one month|at least million|million|million|the first quarter|two|12|2014
	2016-02-22 00:00:00				last year|22 million|millions|second
	2016-02-23 00:00:00	dirty|continued			two|afternoon|the busy voting month|evangelical|10|dozen|three
	2016-02-23 00:00:00				2016
	2016-02-23 00:00:00				14|third
	2016-02-23 00:00:00				2010
	2016-02-23 00:00:00	dirty|continued			two|afternoon|the busy voting month|evangelical|10|dozen|three
	2016-02-23 00:00:00				13|2008|his final year|2016|third|2008|nearly million|last year|million|million to million|nearly 800|91|hundreds
	2016-02-23 00:00:00				the next week|two|the next week|two|annual
	2016-02-23 00:00:00				just under million|nearly million|million|24 percent|about 21 percent|2012
	2016-02-23 00:00:00				2016
	2016-02-23 00:00:00	former	euro zone|us	foreign ministry|main party|foreign	five years ago|2008|2013|year|2011|2014
	2016-02-23 00:00:00				zero
	2016-02-24 00:00:00				
	2016-02-24 00:00:00			library|the public library|the library association	first|first|1993|28 years|2003|more than million|36 million
	2016-02-24 00:00:00		stronghold		2016|2012|2013|two|2014|today|first|million|first|2016|2012
	2016-02-24 00:00:00		southeast		day|2008|first|13|some 30 to 60|recent years|nearly million|2014
	2016-02-24 00:00:00				first|nearly 29 million|70 million to 90 million|2019|dozens|tens|10|10|more than 100
	2016-02-24 00:00:00			replaces	this month|four days later|last year
	2016-02-24 00:00:00				
	2016-02-24 00:00:00			the judiciary committee	
	2016-02-24 00:00:00				2014|two|third|2014|three
	2016-02-25 00:00:00			state	19|this month|first
	2016-02-25 00:00:00	senator			next week|two|11|past weeks|months|four|today|last month|five|four weeks|two|2012|2012|one|81|17|nearly 600
	2016-02-25 00:00:00			national	last week|two|70 years|two|third|three|19
	2016-02-25 00:00:00				migrants|2016|11 million|2016
	2016-02-25 00:00:00				about dozen|1984|1980|second|one|one|50|at least 15 percent|two|one|more than 50 percent|between and 14|first
	2016-02-25 00:00:00				12|up to eight|12|earlier this month
	2016-02-25 00:00:00				months|24 hours|2016
	2016-02-25 00:00:00				40|2016|four|ethnic|2016|three|four
	2016-02-25 00:00:00				one
	2016-02-25 00:00:00				17|12|31
	2016-02-25 00:00:00				
	2016-02-25 00:00:00				thousands|about 60 miles
	2016-02-26 00:00:00			battery	billion|first|million|more than one year|one|almost 300|two to three years|2012|2013
	2016-02-26 00:00:00			state	
	2016-02-26 00:00:00				11|second|more than half|2015|night|two|today|last night
	2016-02-26 00:00:00	fellow		think	months|three|next week|first|2008|three
	2016-02-26 00:00:00				the nearly two months|one|17|12|more than two|seven weeks|2006|one|five|31
	2016-02-26 00:00:00				four|2014
	2016-02-26 00:00:00		is city		four|about 65 miles|nine years|2005|seven|2014|one|two|28|18 months|one|one|14
	2016-02-26 00:00:00			state	two|eight|nine
	2016-02-26 00:00:00			con	one|40 years|one|11|coming months
	2016-02-26 00:00:00				billions of dollars|billions of dollars|two|earlier this month|hundreds of millions of dollars|28
	2016-02-26 00:00:00	presidential			23|dozen|day
	2016-02-27 00:00:00				annual|today|240 years
	2016-02-27 00:00:00			federal appeals court|the county board of	more than decade|two|2001|the 1980s|first|two|2001|2005|2014|as early as 1996|about year before
	2016-02-27 00:00:00			federal	this week|less than 30|the next several weeks|four|four|this week|first
	2016-02-27 00:00:00				11|first|nearly half|2008|more than half|third|first|four|democratic|one|six|four|night|the next few weeks|the past week
	2016-02-27 00:00:00				several years|million|2014|his last five years|four|one|only one|2012|several months|2008|2014|2010|2010|monthly|million|2015
	2016-02-28 00:00:00				
	2016-02-28 00:00:00			the national finance committee	tens of thousands|three|four|11
	2016-02-28 00:00:00	senator			48 percentage|night|the past week|third|first|four|democratic|nine|10|between ages 18|79 percent|only 21 percent
	2016-02-28 00:00:00				two|five|this month
	2016-02-28 00:00:00				days|two days
	2016-02-29 00:00:00				one|hundreds of millions
	2016-02-29 00:00:00			legislative|state	year ago|this election year|seven|the years|years|year|more than miles|first|this year|first|last year
	2016-02-29 00:00:00	conservative			two weeks
	2016-02-29 00:00:00				just over two weeks|conservative|one|first|one|2000
	2016-02-29 00:00:00				3rd|million|one
	2016-02-29 00:00:00				
	2016-02-29 00:00:00				one|first|more than million|30|thousands|between 2009|18|last year|the next 20 years|about six percent
	2016-02-29 00:00:00	grand			dozens|day|one|the eve|2016|white|three|four|last week|18 inches|one|white supremacist|white|nearly 40
	2016-02-29 00:00:00				last week|day|2013|last year|2013|four
	2016-03-01 00:00:00				four|four|first|today
	2016-03-01 00:00:00			allied|unhappy	the weeks|million|10|10|million|million|third|155|under 50 percent|2020|allied|million
	2016-03-01 00:00:00				
	2016-03-01 00:00:00				as much as 21 percent
	2016-03-01 00:00:00				this year|last week|last week|24|only 10|2010|11|six years
	2016-03-01 00:00:00				two|three|four|2016|11|few hours|the weekend|recent days|conservatives|third|one|five|many months
	2016-03-01 00:00:00				nine years
	2016-03-01 00:00:00	senator		presidential	thousands|2007|thousands|second|2005|later that year
	2016-03-01 00:00:00				the biggest single day|one|two
	2016-03-01 00:00:00				11 million|2010|first|third
	2016-03-02 00:00:00				10 percent|the past two days|at least seven|76 percent|80|first|10|second|morning|second|third|30 percent
	2016-03-02 00:00:00				last week|one|this year|one|11|nationalist|democratic|billion|11|one|one|the past four|2016
	2016-03-02 00:00:00			government	two|about 80 percent|two
	2016-03-02 00:00:00				35 percent|three|seven|25|20|15|35|10 percent|more than trillion|trillion|billion|11 million|billion|first|one
	2016-03-02 00:00:00				first|seven months|24 million|tomorrow|three|fifth|three
	2016-03-02 00:00:00			pivotal	four|1973|2013|one|only eight|13|three|four|22|41|2013|30 miles|2007|1973
	2016-03-02 00:00:00				
	2016-03-02 00:00:00			the political umbrella	million|millions of dollars|the millions of dollars|2012|500|millions
	2016-03-02 00:00:00	moderate		federal appellate	conservative|8th|8th|four|four|first|the last day
	2016-03-02 00:00:00				2016|11 million|seven|10|first|two|daily|2012
	2016-03-02 00:00:00			defense department|the conservative advocacy group	evening|six|months|days|weeks|one|annual|just two months|first|just three|2016|one|first|less than week|more than million|21|months|three|2015|2016
	2016-03-02 00:00:00			regional economic	the next six|recent years|50 cents|2022|month|three
	2016-03-03 00:00:00	presidential			second
	2016-03-03 00:00:00				27 percent|33 percent|18 percent|34 percent|29 percent|59 percent
	2016-03-03 00:00:00			white supremacist	2005
	2016-03-03 00:00:00			state	2016|one|nine|second
	2016-03-03 00:00:00				some 20 million|20 million|2010|20 million|2015|million
	2016-03-03 00:00:00			the world organization|cultural organization	women|first|the end of 2016|two|70 years|seven|53|three|four
	2016-03-03 00:00:00				2015|three|2014
	2016-03-03 00:00:00				hundreds|two|one day|seven|the biggest day|the months|this week|two
	2016-03-03 00:00:00				2008|thousands|22|coming months
	2016-03-03 00:00:00			the central board	16|two|two|the year|four|65 percent|above million|third|more than five months|seven|16
	2016-03-03 00:00:00				couple of years
	2016-03-03 00:00:00				2016|one|two|one|11 million|90|hours|four years|four years|thousands
	2016-03-03 00:00:00				2012|65
	2016-03-03 00:00:00			the subcommittee on children and families	congressional|this week|110|2003|2013|five
	2016-03-03 00:00:00	businessman		global	2012|at least two|60|94|2003|2012|week
	2016-03-03 00:00:00				some billion|millions
	2016-03-03 00:00:00				last week|millions|100|2012|millions|the weekend|14
	2016-03-03 00:00:00			party|the presidential nominating committee	day|this week|one
	2016-03-03 00:00:00				first|about month
	2016-03-03 00:00:00				2012
	2016-03-04 00:00:00				2016|days
	2016-03-04 00:00:00				first|day|night|two|2016
	2016-03-04 00:00:00				two days|two|2014|four|one|eight|30 miles|5th
	2016-03-04 00:00:00				21|dozens|four|six years ago|three
	2016-03-04 00:00:00				
	2016-03-04 00:00:00				69 percent|86 percent|this week|seven|11|2012|70 percent|68|above 60 percent|earlier this week|57 percent|27 percent|39 percent|40 percent|the week|23|39 percent|third|three|17 percent|14 percent|10 percent|week
	2016-03-04 00:00:00	said	suburban	mutual	first|this week|fourth|first|four|one
	2016-03-04 00:00:00				one|one|34 years|2012
	2016-03-04 00:00:00				later this month|23
	2016-03-04 00:00:00	on		the presidential exploratory committee	two|2010|the coming years|two
	2016-03-04 00:00:00			big war|an|local	15|millions|first|million|the weeks|four
	2016-03-04 00:00:00				2008|2008|less than two weeks|2008|days|first|2014|three|9th|five years|two|one
	2016-03-04 00:00:00				annual|the last minute
	2016-03-04 00:00:00		neurosurgeon|new		last year|85 to 90 percent|two|31|five|one|previous years|only one|10|155|41 percent|19 percent|16 percent
	2016-03-05 00:00:00			justice|national	dozen|recent years|last week|last month|two|more than 40|this week|four|one|liberal|the last year|two|one|months
	2016-03-05 00:00:00				this week|trans|last year|first|trans
